word,frequency,first-appearance,last-appearance
hill,2,1.00,1.00
shaking,2,1.00,1.01
air,2,1.00,1.01
arm,2,1.00,1.00
shoulder,2,1.00,1.01
open,2,1.00,1.00
years,2,1.00,1.00
begin,2,1.00,1.00
inn’s,2,1.00,1.01
glow,2,1.00,1.01
desperate,2,1.00,1.01
held,2,1.00,1.01
windows,2,1.00,1.01
towards,2,1.00,1.01
Nothing,2,1.00,1.01
pushed,2,1.00,1.00
instincts,2,1.00,1.01
drink,2,1.00,1.01
normally,2,1.00,1.01
thick,2,1.00,1.01
surface,2,1.00,1.01
it’s,2,1.00,1.01
leaned,2,1.00,1.01
strength,2,1.00,1.01
exhausted,2,1.00,1.01
burns,2,1.00,1.01
seen,2,1.00,1.00
since,2,1.00,1.01
came,2,1.00,1.01
upright,2,1.00,1.01
huge,2,1.00,1.01
things,2,1.00,1.01
Monsters,2,1.00,1.00
stepped,2,1.00,1.01
chair,2,1.00,1.01
coughing,2,1.00,1.01
tired,2,1.00,1.00
safety,2,1.00,1.00
moment,2,1.00,1.00
hard,2,1.00,1.01
avoided,2,1.00,1.01
pain,2,1.00,1.01
voice,2,1.00,1.01
travel,2,1.01,1.01
face,2,1.01,1.01
because,2,1.01,1.01
instead,2,1.01,1.01
seeing,2,1.01,1.01
comforting,2,1.01,1.01
pounding,2,1.01,1.01
remembered,2,1.01,1.01
much,2,1.01,1.01
than,2,1.01,1.01
reality,2,1.01,1.01
deep,2,1.01,1.01
breath,2,1.01,1.01
coughed,2,1.01,1.01
First,2,1.01,1.01
easy,2,1.01,1.01
pockets,2,1.01,1.01
who,2,1.01,1.01
their,2,1.01,1.01
full,2,1.01,1.01
green,2,1.01,1.01
men,2,1.01,1.01
How,2,1.01,1.01
being,2,1.01,1.01
although,2,1.01,1.01
situation,2,1.01,1.01
case,2,1.01,1.01
those,2,1.01,1.01
quite,2,1.01,1.01
loud,2,1.01,1.01
anything,2,1.01,1.01
strange,2,1.01,1.01
before,2,1.01,1.01
Really,2,1.01,1.01
large,2,1.01,1.01
feel,2,1.01,1.01
counter,2,1.01,1.01
end,2,1.01,1.01
gave,2,1.01,1.01
Time,2,1.01,1.01
hand,2,1.01,1.01
throat,2,1.01,1.01
cloud,2,1.01,1.01
Where,2,1.01,1.01
lost,2,1.01,1.01
dirty,2,1.01,1.01
coming,2,1.01,1.01
look,2,1.01,1.01
rag,2,1.01,1.01
come,2,1.01,1.01
cloth,2,1.01,1.01
left,2,1.01,1.01
stairwell,2,1.01,1.01
monster,2,1.01,1.01
seemed,2,1.01,1.01
heard,2,1.01,1.01
Come,2,1.01,1.01
You,2,1.01,1.01
Okay,2,1.01,1.01
Don’t,2,1.01,1.01
thing,2,1.01,1.01
small,2,1.01,1.01
aliens,2,1.01,1.01
you,2,1.01,1.01
they,2,1.01,1.01
laugh,2,1.01,1.01
faded,2,1.01,1.01
knew,2,1.01,1.01
eat,2,1.01,1.01
minute,2,1.01,1.01
dustrag…,2,1.01,1.01
needed,2,1.01,1.01
climbing,2,1.01,1.01
two,2,1.01,1.01
terrible,2,1.01,1.01
chest,2,1.01,1.01
pale,2,1.01,1.01
itself,2,1.01,1.01
wildly,2,1.01,1.01
arms,2,1.01,1.01
grey,2,1.01,1.01
next,2,1.01,1.01
onto,2,1.01,1.01
finished,2,1.01,1.01
enough,2,1.01,1.01
surfaces,2,1.01,1.01
reflected,2,1.01,1.01
Clean,2,1.01,1.01
Yes,2,1.01,1.01
Maybe,2,1.01,1.01
[Innkeeper,2,1.01,1.01
[Skill,2,1.01,1.01
–,2,1.01,1.01
Basic,2,1.01,1.01
obtained!],2,1.01,1.01
silent,1,1.00,1.00
grassy,1,1.00,1.00
hilltop,1,1.00,1.00
structures,1,1.00,1.00
Rot,1,1.00,1.00
age,1,1.00,1.00
weather,1,1.00,1.00
wildlife,1,1.00,1.00
reduced,1,1.00,1.00
stone,1,1.00,1.00
foundations,1,1.00,1.00
rubble,1,1.00,1.00
stout,1,1.00,1.00
rotten,1,1.00,1.00
pieces,1,1.00,1.00
timber,1,1.00,1.00
mixed,1,1.00,1.00
Not,1,1.00,1.00
sentient,1,1.00,1.00
thinking,1,1.00,1.00
wait,1,1.00,1.00
purpose,1,1.00,1.00
grass,1,1.00,1.00
knees,1,1.00,1.00
gasping,1,1.00,1.00
lungs,1,1.00,1.00
Smoke,1,1.00,1.00
rising,1,1.00,1.00
charred,1,1.00,1.00
bleeding,1,1.00,1.00
Several,1,1.00,1.00
shallow,1,1.00,1.00
torn,1,1.00,1.00
pants,1,1.00,1.00
climbed,1,1.00,1.00
Because,1,1.00,1.00
mistaking,1,1.00,1.00
Despite,1,1.00,1.00
among,1,1.00,1.00
mostly,1,1.00,1.00
untouched,1,1.00,1.00
passage,1,1.00,1.00
construction,1,1.00,1.00
superior,1,1.00,1.00
perhaps,1,1.00,1.00
standing,1,1.00,1.00
Regardless,1,1.00,1.00
attracted,1,1.00,1.00
merely,1,1.00,1.00
symbol,1,1.00,1.00
From,1,1.00,1.00
meet,1,1.00,1.00
meeting,1,1.00,1.00
point,1,1.00,1.00
which,1,1.00,1.00
epic,1,1.00,1.00
quests,1,1.00,1.00
hearth,1,1.00,1.00
fire,1,1.00,1.00
warm,1,1.00,1.00
beacon,1,1.00,1.00
weary,1,1.00,1.00
signboard,1,1.00,1.00
rotted,1,1.00,1.00
worn,1,1.00,1.00
whatever,1,1.00,1.00
shuttered,1,1.00,1.00
nowhere,1,1.00,1.00
hesitantly,1,1.00,1.00
pulled,1,1.00,1.00
handle,1,1.00,1.00
Mustering,1,1.00,1.00
courage,1,1.00,1.00
peered,1,1.00,1.00
black,1,1.00,1.00
beyond,1,1.00,1.00
told,1,1.00,1.00
food,1,1.00,1.00
served,1,1.00,1.00
Of,1,1.00,1.00
course,1,1.00,1.00
intruder,1,1.00,1.00
doorframe,1,1.00,1.00
rested,1,1.00,1.00
wincing,1,1.00,1.00
cry,1,1.00,1.00
afar,1,1.00,1.00
hoped—,1,1.00,1.00
Ever,1,1.00,1.00
everything’s,1,1.00,1.00
huh,1,1.00,1.00
walked,1,1.00,1.00
further,1,1.00,1.00
gaped,1,1.00,1.00
darkly,1,1.00,1.00
absorbing,1,1.00,1.00
footfalls,1,1.00,1.00
looming,1,1.00,1.00
built,1,1.00,1.00
hold,1,1.00,1.00
crowds,1,1.00,1.00
cavernous,1,1.00,1.00
swallow,1,1.00,1.00
Inside,1,1.00,1.00
Outside,1,1.00,1.00
worse,1,1.00,1.00
them,1,1.00,1.00
unfamiliar,1,1.00,1.00
collapsed,1,1.00,1.00
plume,1,1.00,1.00
rose,1,1.00,1.00
burst,1,1.00,1.00
overwhelming,1,1.00,1.00
life,1,1.00,1.00
called,1,1.00,1.00
Its,1,1.00,1.00
offered,1,1.00,1.00
cold,1,1.00,1.00
